C0,C1,C2,C3,C4,Content
4,4,1,1,3,나머지 1개의 스트립에 대해서도 4.1.1.1 ~ 4.1.1.2 반복
4,4,2,1,1,전동 드라이버 잡기
4,4,2,1,2,전동 드라이버를 고정 스크류에 맞추기
4,4,2,1,3,스크류를 푸는 방향으로 전동 드라이버 작동시키기
4,4,2,1,4,스크류 치우기
4,4,2,1,5,나머지 스크류 3개에 대해 4.2.1.2 ~ 4.2.1.4 반복
4,4,2,1,6,전동 드라이버 치우기
4,4,2,2,1,스커프 트림을 잡기
4,4,2,2,2,스커프 트림을 위쪽 방향으로 당기기
4,4,2,2,3,나머지 스커프 트림에 대해서도 4.2.2.1 ~ 4.2.2.2. 반복
4,5,1,1,1,크립 공구 잡기
4,5,1,1,2,크립 공구를 고정핀에 갖다 대기
4,5,1,1,3,고정 핀을 위로 뽑기
4,5,1,1,4,고정 핀 치우기
4,5,1,1,5,크립 공구 치우기
4,5,1,2,1,플로어 카펫 잡기
4,5,1,2,2,플러어 카펫 치우기
4,6,1,1,1,십자 드라이버 잡기
4,6,1,1,2,드라이버를 고정 화스너에 맞추기
4,6,1,1,3,고정 화스너를 풀기
4,6,1,1,4,고정 화스너 치우기
4,6,1,1,5,나머지 고정 화스너 1개에 대해 6.1.1.2 ~ 6.1.1.4 반복
4,6,1,1,6,드라이버 치우기
4,6,1,2,1,쿨링 덕트 잡기
4,6,1,2,2,쿨링 덕트 오른쪽으로 당기기
4,6,1,2,3,쿨링 덕트 치우기
4,7,1,1,1,12mm 소켓-전동 임팩 렌치를 잡기
4,7,1,1,2,임팩 렌치를 배터리 팩 상부 프레임 고정 너트에 맞추기
4,7,1,1,3,너트를 푸는 방향으로 임팩 렌치를 작동시키기
4,7,1,1,4,너트 치우기
4,7,1,1,5,나머지 너트 3개에 대해 7.1.1.2 ~ 7.1.1.4 반복
4,7,1,2,1,임팩 렌치를 배터리 팩 상부 프레임 고정 볼트에 맞추기
4,7,1,2,2,볼트를 푸는 방향으로 임팩 렌치를 작동시키기
4,7,1,2,3,볼트 치우기
4,7,1,2,4,나머지 12mm 볼트 3개에 대해 7.1.2.1 ~ 7.1.2.3 반복
4,7,1,2,5,임팩 렌치의 소켓을 10mm로 교환
4,7,1,2,6,나머지 10mm 볼트 2개에 대해 7.1.2.1 ~ 7.1.2.3 반복
4,7,1,2,7,임팩 렌치 치우기
4,7,1,3,1,상부 프레임 잡기
4,7,1,3,2,상부 프레임 분리
4,7,1,3,3,상부 프레임 치우기
4,7,2,1,1,12mm 소켓-전동 임팩 렌치를 잡기
4,7,2,1,2,임팩 렌치를 프레임 고정 가이드 고정 볼트에 갖다 대기
4,7,2,1,3,볼트를 푸는 방향으로 임팩 렌치를 작동시키기
4,7,2,1,4,볼트 치우기
4,7,2,2,1,임팩 렌치의 소켓을 10mm로 교환
4,7,2,2,2,임팩 렌치를 프레임 고정 가이드 고정 너트에 갖다 대기
4,7,2,2,3,너트를 푸는 방향으로 임팩 렌치를 작동시키기
4,7,2,2,4,너트 치우기
4,7,2,2,5,나머지 1개 너트에 대해 7.2.2.2 ~ 7.2.2.4 반복
4,7,2,2,5,임팩 렌치 치우기
4,7,2,3,1,고정 가이드 잡기
4,7,2,3,2,고정 가이드 분리
4,7,2,3,3,고정 가이드 치우기
4,8,1,1,1,10mm 소켓-전동 임팩 렌치를 잡기
4,8,1,1,2,임팩 렌치를 리어 커버 고정 볼트에 갖다 대기
4,8,1,1,3,볼트를 푸는 방향으로 임팩 렌치를 작동시키기
4,8,1,1,4,볼트 치우기
4,8,1,1,5,나머지 4개 볼트에 대해 8.1.1.2 ~ 8.1.1.4 반복
4,8,1,2,1,임팩 렌치를 리어 커버 고정 너트에 갖다 대기
4,8,1,2,2,너트를 푸는 방향으로 임팩 렌치를 작동시키기
4,8,1,2,3,너트 치우기
4,8,1,2,4,임팩 렌치 치우기
4,8,1,3,1,리어 커버 잡기
4,8,1,3,2,리어 커버 분리
4,8,1,3,3,리어 커버 치우기
4,8,2,1,1,10mm 소켓-전동 임팩 렌치를 잡기
4,8,2,1,2,임팩 렌치를 리어 커버 고정 볼트에 갖다 대기
4,8,2,1,3,볼트를 푸는 방향으로 임팩 렌치를 작동시키기
4,8,2,1,4,볼트 치우기
4,8,2,1,5,나머지 4개 볼트에 대해 8.1.1.2 ~ 8.1.1.4 반복
4,8,2,2,1,임팩 렌치를 리어 커버 고정 너트에 갖다 대기
4,8,2,2,2,너트를 푸는 방향으로 임팩 렌치를 작동시키기
4,8,2,2,3,너트 치우기
4,8,2,2,4,임팩 렌치 치우기
4,8,2,3,1,리어 커버 잡기
4,8,2,3,2,리어 커버 분리
4,8,2,3,3,리어 커버 치우기
4,9,1,1,1,BMS 모듈 커넥터 잡기
4,9,1,1,2,BMS 모듈 커넥터 로크 누르기
4,9,1,1,3,BMS 모듈 커넥터 분리
4,9,1,1,4,나머지 4개의 커넥터에 대해 9.1.1.1 ~ 9.1.1.3 반복
4,9,1,2,1,크립 공구 잡기
4,9,1,2,2,크립 공구를 배선 고정 부분에 대기
4,9,1,2,3,배선 고정 부분을 분리
4,9,1,2,4,크립 공구 치우기
4,9,2,1,1,10mm 소켓-전동 임팩 렌치를 잡기
4,9,2,1,2,임팩 렌치를 배터리 관리 시스템 모듈 고정 너트에 대기
4,9,2,1,3,너트를 푸는 방향으로 임팩 렌치를 작동시키기
4,9,2,1,4,너트 치우기
4,9,2,1,5,나머지 3개의 고정 너트에 대해 9.2.1.2 ~ 9.2.1.4 반복
4,9,2,1,6,임팩 렌치 치우기
4,9,2,2,1,BMS 모듈 잡기
4,9,2,2,2,BMS 모듈 분리
4,9,2,2,3,BMS 모듈 치우기
,,,,,
